C1, 25.80, 75.15, 90.00, APXT160ARA101ME61G, CAPAE530X610N
C2, 17.79, 75.08, 180.00, APXT160ARA101ME61G, CAPAE530X610N
C3, 17.82, 68.31, 180.00, APXT160ARA101ME61G, CAPAE530X610N
C_C1, 32.26, 49.48, 0.00, 3.3nF, C0805
C_C2, 26.65, 63.91, 0.00, 3.3nF, C0805
C_F, 32.75, 47.23, 0.00, 100nF, C0805
C_F1, 28.80, 58.74, 0.00, 100nF, C0805
C_IN, 23.01, 41.37, 0.00, 100uF, CAPC2012X145N
C_IN1, 23.17, 54.07, 0.00, 100uF, CAPC2012X145N
C_OUT, 28.59, 43.74, 180.00, 100uF, CAPC2012X145N
C_OUT1, 28.66, 56.32, 180.00, 100uF, CAPC2012X145N
C_SS, 20.95, 49.45, 0.00, 33nF, C0805
C_SS1, 22.62, 63.91, 0.00, 33nF, C0805
C_VCC, 32.76, 45.11, 0.00, 1uF, C0805
C_VCC1, 30.59, 61.06, 180.00, 1uF, C0805
IC1, 16.65, 10.97, 0.00, 74AHC1G08DBV, SOT23-5
IC2, 21.66, 17.88, 0.00, 74AHC1G08DBV, SOT23-5
IC3, 16.78, 17.16, 0.00, 74AHC1G08DBV, SOT23-5
J2, 35.78, 73.51, 270.00, PJ-075CH-SMT-TR, CUI_PJ-075CH-SMT-TR
L, 27.23, 40.00, 0.00, KA5013-AEC, INDDFN400X400X180-2N
R_C1, 28.17, 49.49, 180.00, 3.16K, R0805
R_C2, 22.94, 61.83, 180.00, 3.16K, R0805
R_F, 28.63, 46.42, 0.00, 1, RESC1608X55N
R_F1, 30.44, 63.13, 0.00, 1, RESC1608X55N
R_FB1, 24.80, 52.05, 180.00, 12.7k, R0805
R_FB2, 16.59, 57.89, 270.00, 10.2k, R0805
R_PG, 16.20, 43.41, 270.00, 10K, R0805
R_PG1, 15.97, 53.26, 270.00, 10K, R0805
U$1, 23.08, 45.09, 0.00, LM20125/LM20125Q, SOP65P640X120-17T330L
U$2, 51.78, 45.23, 0.00, BGA352, BGA484C100P22X22_2400X2400X220N
U$3, 23.11, 57.82, 0.00, LM20125/LM20125Q, SOP65P640X120-17T330L
U$5, 28.89, 53.46, 0.00, KA5013-AEC, INDDFN400X400X180-2N
