Qty,Value,Device,Package,Parts,Description,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,SPICEPREFIX
4,,JP1E,JP1,"JP1, JP2, JP3, JP4",JUMPER,,,,,,,,,,,61,
1,,MA04-1,MA04-1,SV1,PIN HEADER,,,,,,,,,unknown,unknown,41,
1,1,JP1E,JP1,JP5,JUMPER,,,,,,,,,,,61,
2,1,RT0603BRD071RL,RESC1608X55N,"R_F, R_F1",Thin Film Resistors - SMD 1 ohm 0.1% 25 ppm High-Precision,Thin Film Resistors - SMD 1 ohm 0.1% 25 ppm High-Precision,0.55mm,YAGEO (PHYCOMP),RT0603BRD071RL,,603-RT0603BRD071RL,https://www.mouser.com/Search/Refine.aspx?Keyword=603-RT0603BRD071RL,,,,,
1,10.2k,R-US_R0805,R0805,R_FB2_2,"RESISTOR, American symbol",,,,,,,,,,,85,R
2,100uF,GRM21BR60J107ME15L,CAPC2012X145N,"C_OUT, C_OUT1",Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF   6.3V   20%        0805,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF   6.3V   20%        0805,1.45mm,Murata Electronics,GRM21BR60J107ME15L,,81-GRM21BR60J107ME5L,https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM21BR60J107ME15L?qs=qSv5qXjCIG0V4cgMTBuIkA%3D%3D,,,,,
2,10K,R-US_R0805,R0805,"R_PG, R_PG1","RESISTOR, American symbol",,,,,,,,,,,85,R
1,10k,R-US_R0805,R0805,R_FB2_1,"RESISTOR, American symbol",,,,,,,,,,,85,R
4,1uF,C-USC0805,C0805,"C_F, C_F1, C_VCC, C_VCC1","CAPACITOR, American symbol",,,,,,,,,,,,
2,3.3nF,C-USC0805,C0805,"C_C1, C_C2","CAPACITOR, American symbol",,,,,,,,,,,,
2,33nF,C-USC0805,C0805,"C_SS, C_SS1","CAPACITOR, American symbol",,,,,,,,,,,,
1,4.87k,R-US_R0805,R0805,R_C1,"RESISTOR, American symbol",,,,,,,,,,,85,R
1,4.99k,R-US_R0805,R0805,R_FB1_1,"RESISTOR, American symbol",,,,,,,,,,,85,R
1,6.81k,R-US_R0805,R0805,R_C2,"RESISTOR, American symbol",,,,,,,,,,,85,R
3,74AHC1G08DBV,74AHC1G08DBV,SOT23-5,"IC1, IC2, IC3",2-input AND gate,,,,,,,,,,,0,
1,8.87k,R-US_R0805,R0805,R_FB1_2,"RESISTOR, American symbol",,,,,,,,,,,85,R
3,APXT160ARA101ME61G,APXT160ARA101ME61G,CAPAE530X610N,"C1, C2, C3",Aluminum Organic Polymer Capacitors 100uF 16V,Aluminum Organic Polymer Capacitors 100uF 16V,6.1mm,United Chemi-Con,APXT160ARA101ME61G,,661-APXT160A101ME61G,https://www.mouser.co.uk/ProductDetail/United-Chemi-Con/APXT160ARA101ME61G?qs=GBLSl2Akirsip577GuQBxg%3D%3D,,,,,
1,ASP-134488-01,ASP-134488-01,ASP13448801,J1,"SAMTEC - ASP-134488-01 - CONN, VITA 57 FMC, HEADER, 400POS, 10ROW","SAMTEC - ASP-134488-01 - CONN, VITA 57 FMC, HEADER, 400POS, 10ROW",7.11mm,SAMTEC,ASP-134488-01,,200-ASP-134488-01,https://www.mouser.co.uk/ProductDetail/Samtec/ASP-134488-01?qs=jyzYFa4oMQiB2Frr%252B13AUg%3D%3D,,,,,
1,CON-SOCJ-2155,CON-SOCJ-2155,CONSOCJ2155,J3,DC Power Connectors Power Jack/Connector 2.1mm x 5.5mm,DC Power Connectors Power Jack/Connector 2.1mm x 5.5mm,11mm,Gravitech,CON-SOCJ-2155,,992-CON-SOCJ-2155,https://www.mouser.co.uk/ProductDetail/Gravitech/CON-SOCJ-2155/?qs=fkzBJ5HM%252BdCcpvFQyQZHtA%3D%3D,,,,,
2,GRM21BR60J226ME39L,GRM21BR60J226ME39L,CAPC2012X125N,"C_IN_1, C_IN_2",,,,,,,,,,,,,
2,KA5013-AEC,KA5013-AEC,INDDFN400X400X180-2N,"L_CORE, L_IO",,,,,,,,,,,,,
2,LM20125/LM20125Q,LM20125/LM20125Q,SOP65P640X120-17T330L,"VDD_CORE, VDD_IO",,,,,,,,,,,,,
1,QFN80,QFN80,GF130,U$2,,,,,,,,,,,,,
3,R141426,R141426,R141426,"CONN2, CONN3, CONN4",BNC COAX CONNECTOR,,,,,FARNELL,,,R141426161,4195115,14J7919,0,
1,R141426,R141426,R141426,CONN1,BNC COAX CONNECTOR,,,,,FARNELL,,,R141426161,4195115,14J7919,0,X
