Time (s),Channel,Data
-4.99985,logic_clk,1
-4.99985,GPIO11,0
-4.99975,logic_clk,0
-4.99965,logic_clk,1
-4.99965,GPIO11,1
-4.99955,logic_clk,0
-4.99945,logic_clk,1
-4.99945,GPIO11,0
-4.99935,logic_clk,0
-4.99925,logic_clk,1
-4.99925,GPIO11,1
-4.99915,logic_clk,0
-4.99905,logic_clk,1
-4.99905,GPIO11,0
-4.99895,logic_clk,0
-4.99885,logic_clk,1
-4.99885,GPIO11,1
-4.99875,logic_clk,0
-4.99865,logic_clk,1
-4.99865,GPIO11,0
-4.99855,logic_clk,0
-4.99845,logic_clk,1
-4.99845,GPIO11,1
-4.99835,logic_clk,0
-4.99825,logic_clk,1
-4.99825,GPIO11,0
-4.99815,logic_clk,0
-4.99805,logic_clk,1
-4.99805,GPIO11,1
-4.99795,logic_clk,0
-4.99785,logic_clk,1
-4.99785,GPIO11,0
-4.99775,logic_clk,0
-4.99765,logic_clk,1
-4.99765,GPIO11,1
-4.99755,logic_clk,0
-4.99745,logic_clk,1
-4.99745,GPIO11,0
-4.99735,logic_clk,0
-4.99725,logic_clk,1
-4.99725,GPIO11,1
-4.99715,logic_clk,0
-4.99705,logic_clk,1
-4.99705,GPIO11,0
-4.99695,logic_clk,0
-4.99685,logic_clk,1
-4.99685,GPIO11,1
-4.99675,logic_clk,0
-4.99665,logic_clk,1
-4.99665,GPIO11,0
-4.99655,logic_clk,0
-4.99645,logic_clk,1
-4.99645,GPIO11,1
-4.99635,logic_clk,0
-4.99625,logic_clk,1
-4.99625,GPIO11,0
-4.99615,logic_clk,0
-4.99605,logic_clk,1
-4.99605,GPIO11,1
-4.99595,logic_clk,0
-4.99585,logic_clk,1
-4.99585,GPIO11,0
-4.99575,logic_clk,0
-4.99565,logic_clk,1
-4.99565,GPIO11,1
-4.99555,logic_clk,0
-4.99545,logic_clk,1
-4.99545,GPIO11,0
-4.99535,logic_clk,0
-4.99525,logic_clk,1
-4.99525,GPIO11,1
-4.99515,logic_clk,0
-4.99505,logic_clk,1
-4.99505,GPIO11,0
-4.99495,logic_clk,0
-4.99485,logic_clk,1
-4.99485,GPIO11,1
-4.99475,logic_clk,0
-4.99465,logic_clk,1
-4.99465,GPIO11,0
-4.99455,logic_clk,0
-4.99445,logic_clk,1
-4.99445,GPIO11,1
-4.99435,logic_clk,0
-4.99425,logic_clk,1
-4.99425,GPIO11,0
-4.99415,logic_clk,0
-4.99405,logic_clk,1
-4.99405,GPIO11,1
-4.99395,logic_clk,0
-4.99385,logic_clk,1
-4.99385,GPIO11,0
-4.99375,logic_clk,0
-4.99365,logic_clk,1
-4.99365,GPIO11,1
-4.99355,logic_clk,0
-4.99345,logic_clk,1
-4.99345,GPIO11,0
-4.99335,logic_clk,0
-4.99325,logic_clk,1
-4.99325,GPIO11,1
-4.99315,logic_clk,0
-4.99305,logic_clk,1
-4.99305,GPIO11,0
-4.99295,logic_clk,0
-4.99285,logic_clk,1
-4.99285,GPIO11,1
-4.99275,logic_clk,0
-4.99265,logic_clk,1
-4.99265,GPIO11,0
-4.99255,logic_clk,0
-4.99245,logic_clk,1
-4.99245,GPIO11,1
-4.99235,logic_clk,0
-4.99225,logic_clk,1
-4.99225,GPIO11,0
-4.99215,logic_clk,0
-4.99205,logic_clk,1
-4.99205,GPIO11,1
-4.99195,logic_clk,0
-4.99185,logic_clk,1
-4.99185,GPIO11,0
-4.99175,logic_clk,0
-4.99165,logic_clk,1
-4.99165,GPIO11,1
-4.99155,logic_clk,0
-4.99145,logic_clk,1
-4.99145,GPIO11,0
-4.99135,logic_clk,0
-4.99125,logic_clk,1
-4.99125,GPIO11,1
-4.99115,logic_clk,0
-4.99105,logic_clk,1
-4.99105,GPIO11,0
-4.99095,logic_clk,0
-4.99085,logic_clk,1
-4.99085,GPIO11,1
-4.99075,logic_clk,0
-4.99065,logic_clk,1
-4.99065,GPIO11,0
-4.99055,logic_clk,0
-4.99045,logic_clk,1
-4.99045,GPIO11,1
-4.99035,logic_clk,0
-4.99025,logic_clk,1
-4.99025,GPIO11,0
-4.99015,logic_clk,0
-4.99005,logic_clk,1
-4.99005,GPIO11,1
-4.98995,logic_clk,0
-4.98985,logic_clk,1
-4.98985,GPIO11,0
-4.98975,logic_clk,0
-4.98965,logic_clk,1
-4.98965,GPIO11,1
-4.98955,logic_clk,0
-4.98945,logic_clk,1
-4.98945,GPIO11,0
-4.98935,logic_clk,0
-4.98925,logic_clk,1
-4.98925,GPIO11,1
-4.98915,logic_clk,0
-4.98905,logic_clk,1
-4.98905,GPIO11,0
-4.98895,logic_clk,0
-4.98885,logic_clk,1
-4.98885,GPIO11,1
-4.98875,logic_clk,0
-4.98865,logic_clk,1
-4.98865,GPIO11,0
-4.98855,logic_clk,0
-4.98845,logic_clk,1
-4.98845,GPIO11,1
-4.9884,logic_clk,0
-4.9883,logic_clk,1
-4.9883,GPIO11,0
-4.9882,logic_clk,0
-4.9881,logic_clk,1
-4.9881,GPIO11,1
-4.988,logic_clk,0
-4.9879,logic_clk,1
-4.9879,GPIO11,0
-4.9878,logic_clk,0
-4.9877,logic_clk,1
-4.9877,GPIO11,1
-4.9876,logic_clk,0
-4.9875,logic_clk,1
-4.9875,GPIO11,0
-4.9874,logic_clk,0
-4.9873,logic_clk,1
-4.9873,GPIO11,1
-4.9872,logic_clk,0
-4.9871,logic_clk,1
-4.9871,GPIO11,0
-4.987,logic_clk,0
-4.9869,logic_clk,1
-4.9869,GPIO11,1
-4.9868,logic_clk,0
-4.9867,logic_clk,1
-4.9867,GPIO11,0
-4.9866,logic_clk,0
-4.9865,logic_clk,1
-4.9865,GPIO11,1
-4.9864,logic_clk,0
-4.9863,logic_clk,1
-4.9863,GPIO11,0
-4.9862,logic_clk,0
-4.9861,logic_clk,1
-4.9861,GPIO11,1
-4.986,logic_clk,0
-4.9859,logic_clk,1
-4.9859,GPIO11,0
-4.9858,logic_clk,0
-4.9857,logic_clk,1
-4.9857,GPIO11,1
-4.9856,logic_clk,0
-4.9855,logic_clk,1
